FK_NAME,PARENT_TABLE,PARENT_COLUMN,REFERENCED_TABLE,REFERENCED_COLUMN,PARENT_SCHEMA,REFERENCED_SCHEMA
FK_SharedEnvMemberships_Projects_SharedEnvMemId,Projects,SharedEnvMemId,SharedEnvMemberships,Id,dbo,dbo
FK_TrainingSettings_Projects_TrainingSettingsId,Projects,TrainingSettingsId,TrainingSettings,Id,dbo,dbo
FK_Users_Projects_CreatorId,Projects,CreatorId,Users,Id,dbo,dbo
FK_Projects_ProjectsFeatureFlags_ProjectId,ProjectsFeatureFlags,ProjectId,Projects,Id,dbo,dbo
FK_Projects_ProjectTeams_ProjectId,ProjectTeams,ProjectId,Projects,Id,dbo,dbo
FK_ProjectPrototypes_Prototypes_BillingProjectPrototypeId,Prototypes,BillingProjectPrototypeId,ProjectPrototypes,Id,dbo,dbo
FK_PrototypeVersions_Prototypes_DefaultVersionId,Prototypes,DefaultVersionId,PrototypeVersions,Id,dbo,dbo
FK_Users_Prototypes_OwnerId,Prototypes,OwnerId,Users,Id,dbo,dbo
FK_BackendPrototypeEnvs_PrototypeVersions_BackendPrototypeEnvId,PrototypeVersions,BackendPrototypeEnvId,BackendPrototypeEnvs,Id,dbo,dbo
FK_Envs_PrototypeVersions_CreatedByEnvId,PrototypeVersions,CreatedByEnvId,Envs,Id,dbo,dbo
FK_Prototypes_PrototypeVersions_PrototypeId,PrototypeVersions,PrototypeId,Prototypes,Id,dbo,dbo
FK_PrototypeVersions_PrototypeVersions_ParentPrototypeVersionForUiId,PrototypeVersions,ParentPrototypeVersionForUiId,PrototypeVersions,Id,dbo,dbo
FK_PrototypeVersions_PrototypeVersions_ParentPrototypeVersionForMachinesId,PrototypeVersions,ParentPrototypeVersionForMachinesId,PrototypeVersions,Id,dbo,dbo
FK_Users_PrototypeVersions_Version_AuthorId,PrototypeVersions,Version_AuthorId,Users,Id,dbo,dbo
FK_BackendPrototypeEnvs_PrototypeVersionsRegions_BackendPrototypeEnvId,PrototypeVersionsRegions,BackendPrototypeEnvId,BackendPrototypeEnvs,Id,dbo,dbo
FK_PrototypeVersions_PrototypesVersionsRegions_PrototypeVersionId,PrototypeVersionsRegions,PrototypeVersionId,PrototypeVersions,Id,dbo,dbo
FK_Regions_PrototypesVersionsRegions_RegionId,PrototypeVersionsRegions,RegionId,Regions,Id,dbo,dbo
FK_Users_RemoteAccessSettings_UserId,RemoteAccessSettings,UserId,Users,Id,dbo,dbo
FK_BackendEnvs_Requests_BackendEnvToRemoveId,Requests,BackendEnvToRemoveId,BackendEnvs,Id,dbo,dbo
FK_BackendEnvs_Requests_BackendEnvId,Requests,BackendEnvId,BackendEnvs,Id,dbo,dbo
