SCHEMA_NAME,TABLE_NAME,INDEX_NAME,INDEX_TYPE,is_unique,is_primary_key,COLUMN_NAME,key_ordinal
dbo,EndUsersAccessPermissions,IX_EndUsersAccessPermissions_ProjectId,NONCLUSTERED,false,false,ProjectId,1
dbo,EndUsersAccessPermissions,PK_EndUsersAccessPermissions,CLUSTERED,true,true,Id,1
dbo,EnvBenvAssignments,PK_EnvBenvAssignments,CLUSTERED,true,true,Id,1
dbo,EnvBenvAssignments,UQ_EnvBenvAssignments_BenvId,NONCLUSTERED,true,false,BenvId,1
dbo,EnvBillingOperations,IX_EnvBillingOperations_EffectiveFrom_EffectiveUntil,NONCLUSTERED,false,false,EntAppEnvId,0
dbo,EnvBillingOperations,IX_EnvBillingOperations_EffectiveFrom_EffectiveUntil,NONCLUSTERED,false,false,EnvironmentPolicyId,0
dbo,EnvBillingOperations,IX_EnvBillingOperations_EffectiveFrom_EffectiveUntil,NONCLUSTERED,false,false,EffectiveFrom,1
dbo,EnvBillingOperations,IX_EnvBillingOperations_EffectiveFrom_EffectiveUntil,NONCLUSTERED,false,false,EffectiveUntil,2
dbo,EnvBillingOperations,IX_EnvBillingOperations_EntAppEnvId,NONCLUSTERED,false,false,EntAppEnvId,1
dbo,EnvBillingOperations,IX_EnvBillingOperations_EnvironmentPolicyId,NONCLUSTERED,false,false,EnvironmentPolicyId,1
dbo,EnvBillingOperations,PK_EnvBillingOperations,CLUSTERED,true,true,Id,1
dbo,EnvBillingOperations,UQ_EnvBillingOperations_BIZKEY,NONCLUSTERED,true,false,EntAppEnvId,1
dbo,EnvBillingOperations,UQ_EnvBillingOperations_BIZKEY,NONCLUSTERED,true,false,EffectiveFrom,2
dbo,EnvironmentPolicies,IX_AllowCreateEnvWithoutEnterpriseInvitation_ValidUntil_Id_ResourcePackageName,NONCLUSTERED,false,false,Id,1
dbo,EnvironmentPolicies,IX_AllowCreateEnvWithoutEnterpriseInvitation_ValidUntil_Id_ResourcePackageName,NONCLUSTERED,false,false,ValidUntil,2
dbo,EnvironmentPolicies,IX_AllowCreateEnvWithoutEnterpriseInvitation_ValidUntil_Id_ResourcePackageName,NONCLUSTERED,false,false,AllowCreateEnvWithoutEnterpriseInvitation,3
dbo,EnvironmentPolicies,IX_AllowCreateEnvWithoutEnterpriseInvitation_ValidUntil_Id_ResourcePackageName,NONCLUSTERED,false,false,ResourcePackage_Name,4
dbo,EnvironmentPolicies,IX_ManyColumns_ForCreateEnv,NONCLUSTERED,false,false,AllowCreateEnvWithoutEnterpriseInvitation,1
dbo,EnvironmentPolicies,IX_ManyColumns_ForCreateEnv,NONCLUSTERED,false,false,ValidUntil,2
dbo,EnvironmentPolicies,IX_ManyColumns_ForCreateEnv,NONCLUSTERED,false,false,Id,3
dbo,EnvironmentPolicies,IX_ManyColumns_ForCreateEnv,NONCLUSTERED,false,false,ResourcePackage_Name,4
dbo,EnvironmentPolicies,IX_ProjectId_Inc_ValidUntil,NONCLUSTERED,false,false,ValidUntil,0
dbo,EnvironmentPolicies,IX_ProjectId_Inc_ValidUntil,NONCLUSTERED,false,false,ProjectId,1
dbo,EnvironmentPolicies,IX_UNIQUE_CLUSTERED_Id,CLUSTERED,true,false,Id,1
dbo,EnvironmentPolicies,PK_EnvironmentPolicies,NONCLUSTERED,true,false,Id,1
dbo,EnvOperationAudits,IX_EnvId_EnvOperationInt,NONCLUSTERED,false,false,EnvId,1
dbo,EnvOperationAudits,IX_EnvId_EnvOperationInt,NONCLUSTERED,false,false,EnvOperationInt,2
dbo,EnvOperationAudits,IX_EnvOperationAudits_HomePageChart,NONCLUSTERED,false,false,Id,0
dbo,EnvOperationAudits,IX_EnvOperationAudits_HomePageChart,NONCLUSTERED,false,false,EnvId,0
dbo,EnvOperationAudits,IX_EnvOperationAudits_HomePageChart,NONCLUSTERED,false,false,EnvOperationInt,1
dbo,EnvOperationAudits,IX_EnvOperationAudits_HomePageChart,NONCLUSTERED,false,false,CreateTime,2
dbo,EnvOperationAudits,IX_EnvOperationAudits_ResetMachineRequestId,NONCLUSTERED,false,false,Id,0
dbo,EnvOperationAudits,IX_EnvOperationAudits_ResetMachineRequestId,NONCLUSTERED,false,false,EnvOperationInt,0
dbo,EnvOperationAudits,IX_EnvOperationAudits_ResetMachineRequestId,NONCLUSTERED,false,false,ResetMachineRequestId,1
dbo,EnvOperationAudits,IX_EnvOperationInt,NONCLUSTERED,false,false,Id,0
dbo,EnvOperationAudits,IX_EnvOperationInt,NONCLUSTERED,false,false,WebSessionAuditId,0
dbo,EnvOperationAudits,IX_EnvOperationInt,NONCLUSTERED,false,false,StartTime,0
dbo,EnvOperationAudits,IX_EnvOperationInt,NONCLUSTERED,false,false,LastActiveTime,0
dbo,EnvOperationAudits,IX_EnvOperationInt,NONCLUSTERED,false,false,ActiveTimeInSeconds,0
dbo,EnvOperationAudits,IX_EnvOperationInt,NONCLUSTERED,false,false,EnvOperationInt,1
dbo,EnvOperationAudits,IX_StartTime_EnvOperationInt_EnvId_WebSessionAuditId,NONCLUSTERED,false,false,StartTime,1
dbo,EnvOperationAudits,IX_StartTime_EnvOperationInt_EnvId_WebSessionAuditId,NONCLUSTERED,false,false,EnvOperationInt,2
dbo,EnvOperationAudits,IX_StartTime_EnvOperationInt_EnvId_WebSessionAuditId,NONCLUSTERED,false,false,EnvId,3
dbo,EnvOperationAudits,IX_StartTime_EnvOperationInt_EnvId_WebSessionAuditId,NONCLUSTERED,false,false,WebSessionAuditId,4
dbo,EnvOperationAudits,IX_WebSessionAuditId_EnvOperationInt,NONCLUSTERED,false,false,EnvOperationInt,0
dbo,EnvOperationAudits,IX_WebSessionAuditId_EnvOperationInt,NONCLUSTERED,false,false,StartTime,0
dbo,EnvOperationAudits,IX_WebSessionAuditId_EnvOperationInt,NONCLUSTERED,false,false,LastActiveTime,0
dbo,EnvOperationAudits,IX_WebSessionAuditId_EnvOperationInt,NONCLUSTERED,false,false,WebSessionAuditId,1
dbo,EnvOperationAudits,PK_EnvOperationAudits,NONCLUSTERED,true,true,Id,1
dbo,EnvProjectRoles,IX_EnvProjectRoles_ProjectId,NONCLUSTERED,false,false,ProjectId,1
dbo,EnvProjectRoles,IX_EnvProjectRoles_ProjectId,NONCLUSTERED,false,false,ValidUntil,2
dbo,EnvProjectRoles,PK_EnvProjectRoles,CLUSTERED,true,true,Id,1
dbo,EnvProjectRoles,UQ_EnvProjectRoles_BIZKEY,NONCLUSTERED,true,false,EnvId,1
dbo,EnvProjectRoles,UQ_EnvProjectRoles_BIZKEY,NONCLUSTERED,true,false,ProjectId,2
dbo,EnvProjectRoles,UQ_EnvProjectRoles_BIZKEY,NONCLUSTERED,true,false,ValidUntil,3
dbo,EnvResourceAudits,IX_EnvId_Time,NONCLUSTERED,true,false,EnvId,1
dbo,EnvResourceAudits,IX_EnvId_Time,NONCLUSTERED,true,false,Time,2
dbo,EnvResourceAudits,IX_Id,NONCLUSTERED,true,false,Id,1
dbo,EnvResourceAudits,IX_Time,NONCLUSTERED,false,false,Resources_DiskSizeMB,0
dbo,EnvResourceAudits,IX_Time,NONCLUSTERED,false,false,Resources_CpuCount,0
dbo,EnvResourceAudits,IX_Time,NONCLUSTERED,false,false,Resources_MemorySizeMB,0
dbo,EnvResourceAudits,IX_Time,NONCLUSTERED,false,false,Time,1
